,exrept,results
9068,{ Figure of merit at room temperature }:  SiO 4 4H11002 and CO 3 2H11002 co-substituted hydroxyapatites 692 Aging treatment influence of dc electric current on the hardness of thermally aged Cu–Cr–Zr alloy 303 Al grain size synthesis and structural characterization of Al–B 4 C nano-composite powders by mechanical alloying 334 Al–B 4 C nano-composite powders synthesis and structural characterization of Al–B 4 C nano-composite powders by mechanical alloying 334 Al–Cu alloys corrosion mechanism of the modified casting Al–Cu alloy by the nano-scale Pr x O y L30 the influence of room temperature and cryogenic temperature rolling on the aging and wear behaviour of Al–4Cu–5TiB 2 in situ composites 268 Algorithm simulated XRD profiles of carbon nanotubes (CNTs): An efficient algorithm and a recurrence relation for characterising CNTs 484 Alkali-lithium alkali-lithium modification on rare-earth-neodymium-doped barium strontium sodium niobate ceramics for dielectric and pyroelectric properties 574 Alloying elements additions preparation and the influence of Co),
9073,{ Figure of merit }: the MnO 2 cathode 87 Ceramics effect of fabrication atmosphere on dielectric properties of SiC/SiC composites L1 structural and electrical properties of Cu-doped (K 0.5 Na 0.5 )NbO 3 -MgTiO 3 lead-free ceramics L18 temperature dependence of infrared emissivity of doped manganese oxides in different wavebands (3–5 and 8–14 µm) 420 structural and morphology comparison between m-LaVO 4 and LaVO 3 compounds prepared by sol–gel acrylamide polymerization and solid state reaction 511 synthesis of nano-Na-H9252H11033/H9252-Al 2 O 3 powders by a citrate complex process 648 dielectric and electrical properties of gadolinia doped ceria 769 Characterization preparation via solid-state reaction at room temperature and characterization of layered nanocrystalline KMnPO 4 ·H 2 O541 Chemical synthesis one-step synthesis of Cu 2 S nanostructures with two different morphologies on either side of a copper substrate L43 effects of specific salts on the morphologies of ZnO microstructures L50 novel amphiphilic rare earth precursor complexes with octadecyl cis-butene dicarboxylate),
9075,{ Figure of merit at room temperature }:  magnetic and electrical properties of iron– magnesium superparamagnetic nanoalloy 97 effect of niobium dopant on fatigue characteristics of BiFeO 3 thin films grown on Pt electrodes 274 Subject Index of Volume 479 907 effect of different fuels on the alumina–ceria composite powders synthesized by sol–gel auto combustion method 363 morphology controlled solvo-thermal synthesis and luminescence of NH 4 ZnPO 4 : Eu 3H11001 submicrometer phosphor 536 understanding the role of Zr 4H11001 cation in improving the cycleability of LiNi 0.8 Co 0.15 Zr 0.05 O 2 cathodes for Li ion rechargeable batteries 561 optimization of hydrogen dynamic heat treatment and re-calcination for preparation of strontium hexaferrite nanocrystalline powder 638 synthesis of nano-Na-H9252H11033/H9252-Al 2 O 3 powders by a citrate complex process 648 effect of sulfur sources on the crystal structure),
9081,{ Figure of merit at room temperature }: 300 °C 473 Cross-sections spectroscopic properties and thermal stability of Er 3H11001 -doped germanate– borate glasses 883 Cryo-rolling the influence of room temperature and cryogenic temperature rolling on the aging and wear behaviour of Al–4Cu–5TiB 2 in situ composites 268 Crystal and ligand fields an investigation of spin-Hamiltonian parameters for Pd 2H11001 ions in trigonal sites of CsMgCl 3 crystals 711 Crystal growth influences of ion implantation on non-isothermal crystallization behaviors of bulk metallic glass 736 Crystal morphology WS 2 thin films: Opto-electronic characterization 657 Crystal structure effect of fabrication atmosphere on dielectric properties of SiC/SiC composites L1 structure),
9083,{ Figure of merit at room temperature }:  Sb)-modified K 0.5 Na 0.5 NbO 3 lead-free piezoelectric ceramics 376 dielectric and electrical properties of gadolinia doped ceria 769 Dielectric function non-destructive characterization of In/Ag and In/Cu diffusive layers 583 Dielectric properties magnetoelectric effect in three phase y (Ni 0.5 Cu 0.2 Zn 0.3 Fe 2 O 4 ) H11001 (1 H11002 y) (50% BaTiO 3 H11001 50% PZT) ME composites 385 phase transitional behavior and dielectric properties of lead free (1H11002x)(K 0.5 Na 0.5 )NbO 3 H11002xBi(Zn 0.5 Ti 0.5 )O 3 ceramics 462 Dielectric response effect of fabrication atmosphere on dielectric properties of SiC/SiC composites L1 synthesis),
9087,{ Figure of merit at room temperature }:  magnetic and electrical properties of iron–magnesium superparamagnetic nanoalloy 97 Fe-doped CMR sample existence of Griffiths phase in La 0.67 Ca 0.33 Mn 0.93 Fe 0.07 O 3 879 Ferroelectric materials structural changes in potassium sodium niobate ceramics sintered in different atmospheres 467 Ferroelectrics effect of niobium dopant on fatigue characteristics of BiFeO 3 thin films grown on Pt electrodes 274 dielectric investigations of vanadium modified barium zirconium titanate ceramics obtained from mixed oxide method 280 alkali-lithium modification on rare-earth-neodymium-doped barium strontium sodium niobate ceramics for dielectric and pyroelectric properties 574 Ferromagnetism influence of K doping on the properties of perovskite molybdates Ba 1 H11002x K x MoO 3 (0 H11349 x H11349 0.2) 22 magnetocaloric effect and magnetic properties of La 0.75 Ba 0.1 M 0.15 MnO 3 (M = Na),
9088,{ Figure of merit at room temperature }:  photoluminescence and dielectric properties of O-deficient SnO 2 nanowires 74 the influence of HS-AlF 3 on the decomposition reaction of MgH 2 82 synthesis of ZnO nanowire arrays and their photoluminescence property 634 optimization of hydrogen dynamic heat treatment and re-calcination for preparation of strontium hexaferrite nanocrystalline powder 638 910 Subject Index of Volume 479 Gaussian distribution the distribution of barrier heights in MIS type Schottky diodes from current–voltage–temperature (I–V–T) measurements 893 Glass–crystal transformation a study on the dimensionality of the crystal growth and the exponents of the power laws of the time-dependence for the nucleation frequency and for the crystal growth rate: Application),
9104,{ Figure of merit at room temperature }:  texture and tensile properties of aluminum–2 at.% neodymium alloy as used in flat panel displays 719 effects of solid lubricant content on the microstructure and properties of NiCr/Cr 3 C 2 –BaF 2 ·CaF 2 composite coatings 777 Mechanochemical processing structure and electrical conductivity of porous zirconium titanate ceramics produced by mechanochemical treatment and sintering 525 Mechanochemical reaction synthesis and formation mechanism of cubic ZrN nanopowders by mechanochemical reaction of ZrCl 4 and Li 3 N 599 Melt quenching elastic properties of Na 2 O–B 2 O 3 –V 2 O 5 glasses 17 Melt spinning effect of solidification rate on the microstructure and microhardness of a melt-spun Al–8Si–1Sb alloy 230 MEM local structure of the thermoelectric material Mg 2 Si using XRD 26 Metal hydride alloy electrochemical impedance spectroscopy study of the metal hydride alloy/electrolyte junction 284 Metal hydrides the influence of HS-AlF 3 on the decomposition reaction of MgH 2 82 Metal–insulator transitions magnetic transport behavior of nano-crystalline Pr 0.67 A 0.33 MnO 3 (A = Ca),
9105,{ Figure of merit }:  texture and tensile properties of aluminum–2 at.% neodymium alloy as used in flat panel displays 719 Metal-matrix composites effect of reinforcement geometry on precipitation kinetics of powder metallurgy AA2009/SiC composites 451 Metals enthalpy change of the hcp/fcc martensitic transformation in the Fe–Mn and Fe–Mn–Si systems 204 study on the properties and microstructure of dispersion strengthened copper alloy deformed at high temperatures 401 Metals and alloys the ductility below the ductile-to-brittle transition temperature of the FeCrAlloy L47 thermodynamic description of the Pb–Te system using ionic liquid model 152 the isothermal section of the Pr–Ti–Si ternary system at 773 K 201 evolution of the microstructure and hardness of the Ti–Si alloys during high temperature heat-treatment 246 on the strength and stress-relaxation response of fine-grain Cu–42.2 at.%Zn–0.6 at.%Pb alloy polycrystals 252 thermodynamic description of Ru–Ge–Si ternary system 262 fabrication of nanoporous palladium by dealloying and its thermal coarsening 326 behavior of a recrystallization in HANA-4 and HANA-6 zirconium-based alloys 423 effect of Ag addition on the creep characteristics of Sn–8.8 wt%Zn solder alloy 844 electrical conductivity of open-cell Fe–Ni alloy foams 898 Metamagnetic transition magnetocaloric effects and reduced thermal hysteresis in Si-doped MnAs compounds 189 Metastable phases influences of ion implantation on non-isothermal crystallization behaviors of bulk metallic glass 736 Methanol electrooxidation effect of W on activity of Pt–Ru/C catalyst for methanol electrooxidation in acidic medium 395 Methylene blue effects of Ag-doped NiTiO 3 on photoreduction of methylene blue under UV and visible light irradiation 785 Mg–Al–Mn system isothermal section of the Mg–Al–Mn ternary system at 400 °C 237 Mg 2 Ni amorphous phase formation in intermetallic Mg 2 Ni alloy synthesized by ethanol wet milling 330 Subject Index of Volume 479 913 Mg2Si local structure of the thermoelectric material Mg 2 Si using XRD 26 Microhardness effect of solidification rate on the microstructure and microhardness of a melt-spun Al–8Si–1Sb alloy 230 Microstructure variation of microstructure of Zr 60 Al 15 Ni 25 bulk amorphous alloy during rolling at room temperature L15 effects of specific salts on the morphologies of ZnO microstructures L50 saturation magnetostriction of H9251H11033-Fe 16 N 2 phase 32 microstructural characteristics of DU–xMo alloys with x = 7–12 wt% 140 a comparison of structure and properties of binary and ternary rapidly solidified alloys of the Al–Ni–Zr system 161 microstructure and hot corrosion behaviors of a H9253-toughened Cr 13 Ni 5 Si 2 /Cr 3 Ni 5 Si 2 ternary metal silicide alloy 217 effect of solidification rate on the microstructure and microhardness of a melt-spun Al–8Si–1Sb alloy 230 evolution of the microstructure and hardness of the Ti–Si alloys during high temperature heat-treatment 246 influence of dc electric current on the hardness of thermally aged Cu–Cr–Zr alloy 303 behavior of a recrystallization in HANA-4 and HANA-6 zirconium-based alloys 423 effect of reinforcement geometry on precipitation kinetics of powder metallurgy AA2009/SiC composites 451 effects of different plating modes on microstructure and corrosion resistance of Zn–Ni alloy coatings 489 Na H11001 ion conductors of glass–ceramics in the system Na 1H11001x Al x Ge 2H11002x P 3 O 12 (0.3 H11349 x H11349 1.0) 494 structural and morphology comparison between m-LaVO 4 and LaVO 3 compounds prepared by sol–gel acrylamide polymerization and solid state reaction 511 synthesis of nano-Na-H9252H11033/H9252-Al 2 O 3 powders by a citrate complex process 648 microstructural and textural evolution of AZ31 magnesium alloy during differential speed rolling 726 properties of W incorporated diamond-like carbon films prepared by pulsed- laser deposition 741 the effect of MgO doping on the structure and photoluminescence of YAG:Tb phosphor 759 effects of solid lubricant content on the microstructure and properties of NiCr/Cr 3 C 2 –BaF 2 ·CaF 2 composite coatings 777 effect of Ag addition on the creep characteristics of Sn–8.8 wt%Zn solder alloy 844 Microstructure characterization microstructure characterization of nanocrystalline Ni 3 C synthesized by high-energy ball milling 193 Microwave dielectric properties microwave characteristics of high-Q ZnO-doped Nd(Co 1/2 Ti 1/2 )O 3 dielectric ceramics 714 MIS Schottky diodes the distribution of barrier heights in MIS type Schottky diodes from current– voltage–temperature (I–V–T) measurements 893 Miscellaneous amorphous phase formation in intermetallic Mg 2 Ni alloy synthesized by ethanol wet milling 330 Mn-doped ZnO photocatalytic photodegradation of xanthate ),
9110,{ Figure of merit at room temperature }:  photoluminescence and dielectric properties of O-deficient SnO 2 nanowires 74 fabrication of nanoporous palladium by dealloying and its thermal coarsening 326 morphology and crystalline phase-controllable synthesis of TiO 2 and their morphology-dependent photocatalytic properties 436 synthesis of ZnO nanowire arrays and their photoluminescence property 634 optimization of hydrogen dynamic heat treatment and re-calcination for preparation of strontium hexaferrite nanocrystalline powder 638 effect of sulfur sources on the crystal structure),
9114,{ Figure of merit at room temperature }:  Gd and Y) for white light- emitting diodes 607 synthesis and characterization of Ce-doped Lu 2 SiO 5 powders by the solid- state reaction with Li 2 SO 4 flux 704 optical properties of porous YVO 4 :Ln (Ln = Dy 3H11001 and Tm 3H11001 ) nanoplates obtained by the chemical co-precipitation method 772 Optical microscopy evolution of the microstructure and hardness of the Ti–Si alloys during high temperature heat-treatment 246 Optical properties one-step synthesis of Cu 2 S nanostructures with two different morphologies on either side of a copper substrate L43 theoretical investigation of the electronic and optical properties of Zn 2 OX (X = S),
9121,{ Figure of merit }:  Pb and Ba) manganites 661 Pyrochlore ordering processes in Ln 2 TiO 5 (Ln = Dy–Lu): The role of thermal history 6 Pyroelectric properties alkali-lithium modification on rare-earth-neodymium-doped barium strontium sodium niobate ceramics for dielectric and pyroelectric properties 574 Quenching the isothermal section of Tb–Dy–Co ternary system at 773 K and magnetic property of (Tb 1H11002x Dy x )Co 2 alloys 35 a comparison of structure and properties of binary and ternary rapidly solidified alloys of the Al–Ni–Zr system 161 Radiation trapping spectroscopic properties and thermal stability of Er 3H11001 -doped germanate– borate glasses 883 Raman porous Si(1 1 1) and Si(1 0 0) as an intermediate buffer layer for nanocrystalline InN films L54 Raman spectroscopy structural changes in potassium sodium niobate ceramics sintered in different atmospheres 467 Rapidly solidification effect of solidification rate on the microstructure and microhardness of a melt-spun Al–8Si–1Sb alloy 230 Rapid-solidification a comparison of structure and properties of binary and ternary rapidly solidified alloys of the Al–Ni–Zr system 161 passivation behaviour of structurally relaxed Zr 48 Cu 36 Ag 8 Al 8 metallic glass 257 Rare earth alloys and compounds the phase relations in the Gd–Fe–Ga ternary system at 500 °C 134 corrosion resistance and microstructure characterization of rare-earth- transition metal–aluminum–magnesium alloys 342 microstructure),
9123,{ Figure of merit at room temperature }:  V 2 O 5 /BiVO 4 composite 821 Scanning electron microscopy a comparison of structure and properties of binary and ternary rapidly solidified alloys of the Al–Ni–Zr system 161 fracture behavior of laminated Zr-based bulk metallic glass under bending 242 evolution of the microstructure and hardness of the Ti–Si alloys during high temperature heat-treatment 246 corrosion resistance and microstructure characterization of rare-earth- transition metal–aluminum–magnesium alloys 342 effect of different fuels on the alumina–ceria composite powders synthesized by sol–gel auto combustion method 363 mechanical properties and deformation behavior of as-cast Ti–Sn alloys 390 non-destructive characterization of In/Ag and In/Cu diffusive layers 583 effects of solid lubricant content on the microstructure and properties of NiCr/Cr 3 C 2 –BaF 2 ·CaF 2 composite coatings 777 Scanning tunnelling microscopy phase transformation),
9135,{ Figure of merit at room temperature }:  characterization and photocatalytic properties of spinel CuAl 2 O 4 nanoparticles by a sonochemical method 480 Ultrosonics elastic properties of Na 2 O–B 2 O 3 –V 2 O 5 glasses 17 Up-conversion phosphors up-conversion and colour tuneability in Yb 3H11001 –Er 3H11001 –Tm 3H11001 co-doped transparent nano-glass-ceramics 557 Vapor deposition effect of fabrication atmosphere on dielectric properties of SiC/SiC composites L1 polishing of (1 0 0) H9253-LiAlO 2 wafer and its effect on the epitaxial growth of ZnO films by MOCVD L8 a study of sulfur/selenium substitution effects on physical and mechanical properties of vacuum-grown ZnS 1H11002x Se x compounds using Boubaker polynomials expansion scheme (BPES) 457 properties of W incorporated diamond-like carbon films prepared by pulsed-laser deposition 741 investigation on growth related aspects of catalyst-free InP nanowires grown by metal organic chemical vapor deposition 832 Visible light photocatalytic photodegradation of xanthate ),
9136,{ Figure of merit at room temperature }:  Zn 1H11002x Mn x O under visible light irradiation L4 WC grain boundary binder-free WC bulk synthesized by spark plasma sintering 427 Wear the influence of room temperature and cryogenic temperature rolling on the aging and wear behaviour of Al–4Cu–5TiB 2 in situ composites 268 Wet ball mill amorphous phase formation in intermetallic Mg 2 Ni alloy synthesized by ethanol wet milling 330 Wet chemical processing influence of precipitants on morphology and sinterability of Nd 3H11001 :Lu 2 O 3 nanopowders by a wet chemical processing 870 X-ray local structure of the thermoelectric material Mg 2 Si using XRD 26 X-ray and ultra-violet photoelectron spectroscopies enhancement of hole-injection and power efficiency of organic light emitting devices using an ultra-thin ZnO buffer layer 520 X-ray diffraction effect of fabrication atmosphere on dielectric properties of SiC/SiC composites L1 polishing of (1 0 0) H9253-LiAlO 2 wafer and its effect on the epitaxial growth of ZnO films by MOCVD L8 structural and electrical properties of Cu-doped (K 0.5 Na 0.5 )NbO 3 -MgTiO 3 lead-free ceramics L18 cation distribution and magnetic properties of Zn doped NiFe 2 O 4 nanoparticles synthesized by PEG-assisted hydrothermal route 49 the structure and physical properties of CuMPd 6 (M = Ti),
9168,Lu et al. have prepared the samples of the chalcopyrite CuIn3Se5-xTex (x = 0–0.5) compounds under pressure of P = 60 MPa at 930 K with the figure of merit of ZT = 0.4.),"[{'Pressure': {'raw_value': '60', 'raw_units': 'MPa', 'value': [60.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'under', 'compound': {'Compound': {'names': ['chalcopyrite CuIn3Se5-xTex'], 'labels': ['x = 0']}}}}]"
9244, LuPtSb can reach a high ZT value of 1.5 at 900 K under hydrostatic pressure of 18.3 GPa.),"[{'Pressure': {'raw_value': '18.3', 'raw_units': 'GPa', 'value': [18.3], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['LuPtSb']}}}}]"
9370, the maximum ZT value of sample Co4Sb11.5Te0.5 prepared at 2.3 GPa reached 1.03 at 710 K due to its lower thermal conductivity and higher power factor.),"[{'Pressure': {'raw_value': '2.3', 'raw_units': 'GPa', 'value': [2.3], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Co4Sb11.5Te0.5']}}}}]"
9371,The maximum ZT value of sample Co4Sb11.5Te0.5 prepared at 2.3 GPa reached 1.03 at 710 K.),"[{'Pressure': {'raw_value': '2.3', 'raw_units': 'GPa', 'value': [2.3], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Co4Sb11.5Te0.5']}}}}]"
9372, the maximum ZT value of sample Co4Sb11.5Te0.5 prepared at 2.3 GPa reached 1.03 at 710 K.),"[{'Pressure': {'raw_value': '2.3', 'raw_units': 'GPa', 'value': [2.3], 'units': '(10^9.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Co4Sb11.5Te0.5']}}}}]"
9514,"The ZT value of Cu2Se sample fabricated under the condition; td = 0s, P = 100 MPa and th = 10 s, and cut parallel to the pressure direction reaches 1.5 at 900 K, which is higher)","[{'Pressure': {'raw_value': '100', 'raw_units': 'MPa', 'value': [100.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'under', 'compound': {'Compound': {'names': ['Cu2Se']}}}}]"
9594,"For instance, Kim et al. immersed spin-coated PEDOT:PSS films in ethylene glycol (EG) solvent to induce different level of de-doping of PSS by adjusting the EG treatment times, and a highest ZT value of 0.42 was achieved at RT ()",
9611,{ ZT at room temperature }:  Dy 3H11001 ) ions used as a spectroscopic probe in compositional-dependent lead borate glasses 45 Acid corrosion the influence of the copper/nickel ratio on the electrochemical behavior of Cu–Ni alloys in acidic sulfate solutions 365 Activation analysis self-ignition combustion synthesis of TiFe 1H11002x Ni x in hydrogen atmosphere 682 Activation energy formation mechanisms of precipitates in an Al–Cu–Li–Zr alloy and their effects on strength and electrical resistance of the alloy 90 Active screen the influence of active screen plasma nitriding parameters on corrosion behavior of a low-alloy steel 222 Al on the role of nano-size SiC on lattice strain and grain size of Al/SiC nanocomposite 637 Al–Ce–Cu system thermodynamic assessment of Al–Ce–Cu system 286 Al–Cu–Li–Zr alloy formation mechanisms of precipitates in an Al–Cu–Li–Zr alloy and their effects on strength and electrical resistance of the alloy 90 Al–Cu–Mg–Ag alloy microstructural evolution of Al–Cu–Mg–Ag alloy during homogenization 790 AlH 3 -based hydrogen storage materials synthesis of the hydride mixtures (1 H11002 x)AlH 3 /xMgH 2 (0 H11349 x H11349 0.3) by ball milling and their hydrogen storage properties 426 Alkaline synthesis of zinc oxide by zinc–air system 934 Alligned ZnO nanorods hexagonally patterned selective growth of well-aligned ZnO nanorod arrays 17 Al 2 O 3 gelcasting of alumina–zirconia–yttria nanocomposites with Na-alginate system 452 Aluminium alloys the effect of melting temperature and time on the TiC particles 95 columnar),
9615,{ ZT at room temperature }: synthesize nanosized cubic ceria (CeO 2 ) 211 investigation of precursors in the preparation of nanostructured La 0.6 Sr 0.4 Co 0.2 Fe 0.8 O 3H11002H9254 via a modified combined complexing method 263 preparation and characterization of Ag nanowires in mesoporous MCM-41 nanoparticles template by chemical reduction method 314 synthesis of sheaf-like CuO from aqueous solution and their application in lithium-ion batteries 322 synthesis of NaBH 4 based on a solid-state reaction under Ar atmosphere 352 fabrication),
9617,{ ZT at room temperature }:  structural and conductivity characterization 371 Constitutive analysis study of the plastic flow behaviors of AZ91 magnesium alloy during thermomechanical processes 949 Co–P alloy catalyst nanoparticles high-yield atmospheric-pressure CVD of highly-uniform carbon nanocoils using Co–P catalyst nanoparticles prepared by electroless plating 860 Copper the influence of the copper/nickel ratio on the electrochemical behavior of Cu–Ni alloys in acidic sulfate solutions 365 Copper addition the effect of Cu addition on the precipitation and redissolution in Al–Zn–Mg alloy by the differential dilatometry 891 Copper-based alloy effect of Ge addition on mechanical properties and fracture behavior of Cu– Zr–Al bulk metallic glass 708 Co-precipitation an improved carbonate co-precipitation method for the preparation of spherical Li[Ni 1/3 Co 1/3 Mn 1/3 ]O 2 cathode material 519 Cordierite crystallization behaviour),
9625,{ ZT at room temperature }:  microstructure and properties of (Cr 1H11002x V x ) 2 AlC solid solutions 130 net-shape forming and properties of high volume fraction SiCp/Al composites 256 photothermal investigations of doping effects on opto-thermal properties of bulk GaSb 772 Heat-treatment fabrication of nanoporous gold thin films on silicon substrate by multilayer deposition of Au and Ag 28 Heusler alloy thermoelectric properties of Sb-doped Heusler Fe 2 VAl alloy 444 Heusler-type thermoelectric properties of (Fe 1H11002x Co x ) 2 VAl Heusler-type compounds 812 High pressure elastic properties and pressure induced transitions of ZnO polymorphs from first-principle calculations 431 High temperature alloys microstructure and stress rupture property of Ni-based monocrystal superalloy with melt superheating treatment 753 High temperature materials an investigation of phase separation in the Ir–Pt binary system 327 High velocity axial plasma spraying microstructure and properties of Fe-based amorphous metallic coating produced by high velocity axial plasma spraying 300 High-chromium steel vibration damping of high-chromium ferromagnetic steel and its dependence on magnetic domain structure 296 Homogenization microstructural evolution of Al–Cu–Mg–Ag alloy during homogenization 790 Hot embossing technology superplastic micro-forming of Zr 65 Cu 17.5 Ni 10 Al 7.5 bulk metallic glass with silicon mold using hot embossing technology 118 Hydrides self-ignition combustion synthesis of TiFe 1H11002x Ni x in hydrogen atmosphere 682 Hydrogen absorbing materials mathematical models for the P–C–T characterization of hydrogen absorbing alloys 190 first-principles investigations of F and Cl impurities in NaAlH 4 347 Hydrogen absorption effect of ball milling and cold rolling on hydrogen storage properties of nanocrystalline TiV 1.6 Mn 0.4 alloy 154 Hydrogen permeation hydrogen-induced cracking and healing behaviour of X70 steel 966 Hydrogen storage self-ignition combustion synthesis of TiFe 1H11002x Ni x in hydrogen atmosphere 682 Hydrogen storage alloy effects of the mass ratio of carbonyl nickel powders),
9637,{ ZT at room temperature }: artificial ageing of dendritic and globular Al–7Si–Mg alloys 164 986 Subject Index of Volume 484 kinetics of solid-state reactive diffusion between Sn–Ni alloys and Pd 273 microstructure and stress rupture property of Ni-based monocrystal superalloy with melt superheating treatment 753 Metals and alloys an X-ray scattering study of Pt 1H11002x V x alloys 168 study on the properties of Al–23%Si alloy treated by ultrasonic wave 360 effects of chromium addition on structure and mechanical properties of Ti–10Zr alloy 524 increasing the ductility and strength of submicrometer-grained P/M aluminium 806 MgB 2 superconductor doping effect of nano-SiC on structural and superconducting properties of MgB 2 bulks prepared by PIST method in air 734 Mg-based alloy influence of minor alloying additions on the glass-forming ability of Mg–Ni– La bulk metallic glasses 612 MgO/A356 composites microstructure and mechanical properties of aluminum alloy matrix composite reinforced with nano-particle MgO 400 (Mg 1H11002x Cd x ) 3 Sb 2 transport and thermoelectric properties of nanocrystal substitutional semiconductor alloys (Mg 1H11002x Cd x ) 3 Sb 2 doped with Ag 498 Micro-forming superplastic micro-forming of Zr 65 Cu 17.5 Ni 10 Al 7.5 bulk metallic glass with silicon mold using hot embossing technology 118 Micro-hardness microstructure and properties of Fe-based amorphous metallic coating produced by high velocity axial plasma spraying 300 influence of SiC nanoparticles and saccharin on the structure and properties of electrodeposited Ni–Fe/SiC nanocomposite coatings 540 Micromechanical properties microstructural characterization and micromechanical properties of dual- phase carbide in arc-melted titanium aluminide base alloy with carbon addition 816 Micro-sized materials preparation and electrochemical performance of CoSb alloy anode material for Li-ion batteries 864 Microstructure the evolution of heating rate on the microstructural and magnetic properties of milled nanostructured Fe 1H11002x Co x (x = 0.2),
9651,{ ZT at room temperature }:  and investigation of their thermoelectric properties 268 Porous formation of porous Ni–Al intermetallics through pressureless reaction synthesis 907 Porous material self-ignition combustion synthesis of TiFe 1H11002x Ni x in hydrogen atmosphere 682 Powder metallurgy net-shape forming and properties of high volume fraction SiCp/Al composites 256 increasing the ductility and strength of submicrometer-grained P/M aluminium 806 formation of porous Ni–Al intermetallics through pressureless reaction synthesis 907 Precipitation effect of Ti 2 Cu precipitates on mechanical behavior of Ti–2.5Cu alloy subjected),
9652,{ ZT at room temperature }: different heat treatments 196 the effect of Cu addition on the precipitation and redissolution in Al–Zn–Mg alloy by the differential dilatometry 891 Preparation conditions influence of precursor of MgO and preparation conditions on the catalytic dehydrogenation of iso-propanol over CuO/MgO catalysts 280 Primary dendrite arm spacing primary dendrite arm spacing during unidirectional solidification of Pb–Bi peritectic alloys 631 Proton-conducting solid oxide fuel cells ba 0.5 Sr 0.5 Zn 0.2 Fe 0.8 O 3H11002H9254 –BaCe 0.5 Zr 0.3 Y 0.16 Zn 0.04 O 3H11002H9254 composite cathode for proton-conducting solid oxide fuel cells 856 Pulse-current sintering thermoelectric properties of Sb-doped Heusler Fe 2 VAl alloy 444 Pulsed laser deposition enhanced photoemission from nanoscale agglomerations in Li co-activated Y 2 O 3 :Eu 3H11001 thin films 377 annealing effects on the structure and optical properties of GeSe 2 and GeSe 4 films prepared by PLD 645 Raman and X-ray diffraction study of ceramic materials in the SrSnO 3 –NaNbO 3 system by X-ray diffraction),
9655,{ ZT at room temperature }:  dielectric and electrical properties of Ba 5H11002x Sr x DyTi 3 V 7 O 30 (x = 0–5) ceramics 832 Schottky barrier diodes examination by interfacial layer and inhomogeneous barrier height model of temperature-dependent I–V characteristics in Co/p-InP contacts 870 Schottky barriers the effect of Eu 2 O 3 doping on CaCu 3 Ti 4 O 12 varistor properties 718 Seebeck coefficient thermoelectric properties of (Fe 1H11002x Co x ) 2 VAl Heusler-type compounds 812 Self-propagating high-temperature synthesis (SHS) self-ignition combustion synthesis of TiFe 1H11002x Ni x in hydrogen atmosphere 682 SEM characterization of PbS nanoparticles synthesized by chemical bath deposition 463 Semiconductor negative-differential-resistance effects in TlInTe 2 ternary semiconductor 561 Semiconductors synthesis and photoluminescence of Zn 2 SnO 4 nanowires 25 quasi-ternary system Cu 2 GeS 3 –Cu 2 SnS 3 –CdS 147 fabrication),
9659,{ ZT at room temperature }:  microstructure and properties of (Cr 1H11002x V x ) 2 AlC solid solutions 130 gelcasting of alumina–zirconia–yttria nanocomposites with Na-alginate system 452 SnAgCu nanoparticles of SnAgCu lead-free solder alloy with an equivalent melting temperature of SnPb solder alloy 777 Sn–Zn interfacial reaction of gas-atomized Sn–Zn solder containing Ni and Cu additives 185 Sn–Zn alloy thermal and mechanical properties of Sn–Zn–Bi lead-free solder alloys 134 Sodium borohydride synthesis of NaBH 4 based on a solid-state reaction under Ar atmosphere 352 Sol-combustion method synthesis of BaCe 0.8 Sm 0.1 Gd 0.1 O 3H11002H9254 electrolyte by a sol-combustion method 317 990 Subject Index of Volume 484 Solder paste interfacial reaction of gas-atomized Sn–Zn solder containing Ni and Cu additives 185 Sol–gel synthesis of CdSiO 3 powder by sol–gel method 641 Sol–gel processes synthesis of YAG powder by the modified sol–gel combustion method 449 new insights in the structure–luminescence relationship of Eu:SrAl 2 O 4 693 Sol–gel synthesis investigation of precursors in the preparation of nanostructured La 0.6 Sr 0.4 Co 0.2 Fe 0.8 O 3H11002H9254 via a modified combined complexing method 263 morphology control of Ce 0.9 Gd 0.1 O 1.95 nanopowder synthesized by sol–gel method using PVP as a surfactant 729 Solid oxide fuel cell (SOFC) combustion synthesis of doped LaGaO 3 perovskite oxide with Fe 747 Solid state reactions investigations of dielectric),
